College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life,Placement_Rate,Avg_Package,,,Courses_Offered
"GLA University, Mathura ",Uttar pradesh,Engineering,"1,78,000","75,000",8.2,8.2,7.9,8.3,8.3,8.2,8.1,,500000,,,
Institute of Engineering and Technology ,Uttar pradesh,Engineering,"89,775","73,200",7.4,7.6,7.7,7,7.3,7,7.8,,1200000,,,
Sanskriti University ,Uttar pradesh,Engineering,"1,15,000","45,000",7,7.2,6.7,7,7.5,6.9,6.8,,400000,,,
"Monad University, Hapur ",Uttar pradesh,Engineering,"1,51,000","35,500",8,7.6,7.4,8.5,8,8.2,8.1,,1200000,,,
Indian Institute of Information Technology ,Uttar pradesh,Engineering,"2,18,700","2,18,700",7.8,7.6,7.2,7.4,6.8,9.4,8.1,,1200000,,,
"IFTM University, Moradabad ",Uttar pradesh,Engineering,"1,07,000","75,000",7.8,7.9,7.5,8.1,8,6.8,8.3,,1100000,,,
"Shobhit University, Meerut ",Uttar pradesh,Engineering,"1,11,200","1,22,400",7.8,8.4,7.3,7.8,8.3,7,7.9,,1100000,,,
"Glocal University, Saharanpur ",Uttar pradesh,Engineering,"1,44,000","94,000",7.1,7.5,6.9,7,6.7,7.2,7.3,,1400000,,,
"Rama University, Kanpur ",Uttar pradesh,Engineering,"90,000","75,000",6.7,6.6,6.1,7.3,6.5,6.6,7.1,,400000,,,
Noida Institute of Engineering and Technology ,Uttar pradesh,Engineering,"6,14,000","2,13,000",7.6,8.1,7.1,8,7.6,7.8,7.1,,1400000,,,
"ABES Engineering College, Ghaziabad ",Uttar pradesh,Engineering,"1,43,700","1,30,000",7.9,8.1,7.2,8.1,8.2,7.8,8,,1100000,,,
Bundelkhand Institute of Engineering & Technology ,Uttar pradesh,Engineering,"61,800","59,300",7.1,7.3,7,6.9,7.4,6.2,8,,1300000,,,
Harcourt Butler Technological University ,Uttar pradesh,Engineering,"1,35,000","83,300",7.3,7.5,6.9,7.4,6.5,7.8,7.8,,600000,,,
Rajiv Gandhi Institute of Petroleum Technology ,Uttar pradesh,Engineering,"2,21,100","42,100",8.6,8.7,8.6,8.2,9.2,8.2,8.6,,1400000,,,
Indian Institute of Technology ,Delhi ncr,Engineering,"2,20,300","1,32,900",8.7,9,7.8,8.7,8.9,9,9,,1000000,,,
"Jamia Millia Islamia University-[JMI], New Delhi ",Delhi ncr,Engineering,"16,150","8,970",8,8.4,7.6,8.3,8.4,7.2,8.2,,1400000,,,
Delhi Technological University ,Delhi ncr,Engineering,"1,90,000","1,66,000",8.2,7.9,7.6,7.5,8.6,8.6,8.8,,400000,,,
"Amity University, Noida ",Delhi ncr,Engineering,"3,11,000","1,40,000",8.2,8,7.9,8.1,8.9,7.6,8.7,,400000,,,
Indraprastha Institute of Information Technology ,Delhi ncr,Engineering,"3,60,000","1,00,000",8.7,8.8,8.7,8.9,8.9,8.6,8.2,,1300000,,,
Guru Gobind Singh Indraprastha University ,Delhi ncr,Engineering,"1,17,200","23,000",7.8,8.1,7.5,8,8.1,6.9,8.1,,800000,,,
Jaypee Institute of Information Technology University ,Delhi ncr,Engineering,"2,36,500","1,20,000",7.8,7.8,7.7,7.3,8.2,7.8,7.7,,800000,,,
National Institute of Food Technology Entrepreneurship and ,Delhi ncr,Engineering,"1,71,550","1,52,950",8.1,8.5,7.1,6.9,9.4,8.5,7.9,,1100000,,,
"School of Engineering and Technology, NCU ",Delhi ncr,Engineering,"2,60,000","82,000",9,9,--,--,9,--,--,,1000000,,,
"J.C. Bose University Of Science And Technology, ",Delhi ncr,Engineering,"83,625","83,625",7.3,7.7,6.5,7.4,6.6,7.7,7.6,,1100000,,,
Indira Gandhi Delhi Technical University For Women ,Delhi ncr,Engineering,"88,000","33,000",7.6,7.7,7,7.6,6.9,8.3,7.9,,900000,,,
Manav Rachna International Institute Of Research And ,Delhi ncr,Engineering,"1,81,500","1,16,000",7.2,7.1,6.7,6.5,8.4,6.5,7.8,,900000,,,
Sharda University ,Delhi ncr,Engineering,"1,63,770","97,850",7.9,7.7,7.6,7.9,8.6,6.9,8.6,,500000,,,
Galgotias University ,Delhi ncr,Engineering,"1,59,000","45,000",7.6,7.9,6.9,7.9,7.5,7.7,7.8,,900000,,,
Netaji Subhas University of Technology ,Delhi ncr,Engineering,"1,90,000","1,20,000",7.8,7.9,7.1,7.6,7.6,8.9,7.9,,800000,,,
Shiv Nadar University ,Delhi ncr,Engineering,"2,00,000","1,60,000",9,8.8,8.7,8.8,9.6,8.5,9.4,,600000,,,
Manav Rachna International Institute of Research and ,Delhi ncr,Engineering,"1,81,500","1,65,000",7.5,7.4,7.3,7.5,8.3,6.6,7.6,,900000,,,
National Institute of Technology ,Delhi ncr,Engineering,"96,866","1,98,500",6.8,7.3,6,7.1,6,7.6,6.8,,1100000,,,
"Gurugram University, Gurgaon ",Delhi ncr,Engineering,"40,000",--,8.2,8.6,7.4,8.4,8.6,8,8.1,,1200000,,,
Chhotu Ram Rural Institute Of Technology ,Delhi ncr,Engineering,"33,450","33,450",8.4,8.7,8.1,8.4,8.7,8.1,8.2,,400000,,,
SunRise University ,Delhi ncr,Engineering,"72,200","32,200",8.1,8.1,7.3,8.7,8.1,7.9,8.4,,600000,,,
"Monad University, Hapur ",Delhi ncr,Engineering,"1,51,000","35,500",8,7.6,7.4,8.5,8,8.2,8.1,,600000,,,
"Amity University, Gurgaon ",Delhi ncr,Engineering,"2,30,000","1,56,000",7.7,7.8,7.1,7.6,8.6,7.1,8.1,,1400000,,,
"Shobhit University, Meerut ",Delhi ncr,Engineering,"1,11,200","1,22,400",7.8,8.4,7.3,7.8,8.3,7,7.9,,1100000,,,
Indraprastha Institute of Technology and Management ,Delhi ncr,Engineering,"1,25,000",--,8.3,8.3,8,8.7,7.8,8.7,8.5,,400000,,,
Maharaja Agrasen Institute of Technology ,Delhi ncr,Engineering,"1,43,200",--,7.5,7.8,7.2,7.7,7.5,7.5,7.4,,800000,,,
Maharaja Surajmal Institute of Technology ,Delhi ncr,Engineering,"1,35,300",--,7.3,7.9,6.7,7.5,6.8,7.7,7.1,,600000,,,
Noida Institute of Engineering and Technology ,Delhi ncr,Engineering,"6,14,000","2,13,000",7.6,8.1,7.1,8,7.6,7.8,7.1,,500000,,,
K L University ,Andhra pradesh,Engineering,"2,50,000","1,45,000",8.3,8.5,7.6,8.3,8.8,8.3,8.2,,1100000,,,
"Andhra University, College of Engineering ",Andhra pradesh,Engineering,"10,000","1,09,000",7.7,8.2,6.9,7.8,8,7.2,7.9,,600000,,,
"Sri Venkateswara University College of Engineering, Tirupati ",Andhra pradesh,Engineering,"16,395","31,647",7.8,7.6,8.4,7.4,8.1,6.9,8.1,,1000000,,,
"Vignan? Foundation for Science, Technology, and Research, ",Andhra pradesh,Engineering,"2,50,000","1,10,000",8.2,8.2,8.4,8.5,8.2,7.7,8.4,,1400000,,,
"JNTUK University College of Engineering, Kakinada, East ",Andhra pradesh,Engineering,"10,000","30,000",7.7,8,7.1,7.8,8.2,7,8.3,,400000,,,
Sree Vidyanikethan Engineering College ,Andhra pradesh,Engineering,"2,80,000","76,850",8.5,8.4,8.5,8.3,8.8,8.4,8.6,,900000,,,
G. Pulla Reddy Engineering College ,Andhra pradesh,Engineering,"80,000","80,000",8.3,8.5,7.7,8.5,8.5,8.2,8.4,,600000,,,
Sri Venkateswara College of Engineering and Technology ,Andhra pradesh,Engineering,"89,350","75,000",7.9,8.3,7.9,8,8.2,7.3,7.5,,1100000,,,
Velagapudi Ramakrishna Siddhartha Engineering College ,Andhra pradesh,Engineering,"71,050","70,000",8.2,8.6,7.6,8.4,8.4,8.2,8.1,,900000,,,
Shri Vishnu Engineering College for Women ,Andhra pradesh,Engineering,"95,000","55,000",8.8,8.7,8.6,8.5,9.3,8.8,9,,500000,,,
"JNTUA College of Engineering, Ananthapur ",Andhra pradesh,Engineering,"25,000","38,750",7,7.1,7.3,6.7,7.5,6.3,7.3,,900000,,,
Sagi Ramakrishnam Raju Engineering College ,Andhra pradesh,Engineering,"30,000","57,000",8.2,8.5,7.5,8.4,8.3,8.2,8.3,,1000000,,,
Gayatri Vidya Parishad College of Engineering ,Andhra pradesh,Engineering,"2,76,000","1,00,000",7.7,8.3,6.8,8,7.3,8.1,7.4,,800000,,,
Jawaharlal Nehru Technological University ,Andhra pradesh,Engineering,"1,00,000",--,7.4,7.7,6.8,7.1,7.7,7.1,7.8,,600000,,,
Indian Institute of Technology ,Andhra pradesh,Engineering,"16,950","78,218",8.6,9,8.1,8.8,8.7,8.2,8.9,,700000,,,
Prasad V. Potluri Siddhartha Institute of Technology ,Andhra pradesh,Engineering,"2,80,000","1,40,000",7.9,8.1,7.3,8.1,8.1,7.9,7.8,,700000,,,
Centurion University of Technology and Management ,Andhra pradesh,Engineering,"1,25,000","60,000",7.8,8,7.2,8.3,7.6,7.4,8.3,,900000,,,
Aditya Engineering College ,Andhra pradesh,Engineering,"72,000","29,500",7.8,7.9,7.4,7.8,8.5,7.4,7.9,,1300000,,,
Bapatla Engineering College ,Andhra pradesh,Engineering,"75,000","90,000",7.5,7.8,7.3,7.7,8.2,6.5,7.7,,400000,,,
Gudlavalleru Engineering College ,Andhra pradesh,Engineering,"81,600","74,850",8.2,8.5,7.7,8.4,8.7,7.5,8.1,,1400000,,,
Sri Venkateswara College of Engineering ,Andhra pradesh,Engineering,"80,000","75,000",8.3,8.3,8,8.1,9,7.8,8.5,,700000,,,
Sri Vasavi Engineering College ,Andhra pradesh,Engineering,"1,89,000","60,850",7.9,8.1,7.4,8,8.3,7.6,7.8,,1300000,,,
Indian Institute of Information Technology Sri City ,Andhra pradesh,Engineering,"1,03,000","2,71,000",7,7.9,6.4,7.1,6.9,7.3,6.4,,700000,,,
National Institute of Technology ,Andhra pradesh,Engineering,"1,87,500","1,00,000",7.2,7.9,6.6,7.5,6.9,6.9,7.2,,1300000,,,
"Rajiv Gandhi University of Knowledge Technologies -[RGUKT], ",Andhra pradesh,Engineering,"39,000","96,000",8.2,8.4,7.6,8.1,8.9,7.7,8.5,,400000,,,
Raghu Engineering College ,Andhra pradesh,Engineering,"85,000","57,000",8.1,8.3,7.1,8.1,8.4,8.5,8,,1200000,,,
Indian Institute of Information Technology Design and ,Andhra pradesh,Engineering,"1,44,600","67,500",7.4,7.9,7.6,8,6.7,7.2,7.2,,700000,,,
Rajeev Gandhi Memorial College of Engineering and ,Andhra pradesh,Engineering,"69,100","62,800",7.4,7.8,7.2,7.6,8,6.2,7.4,,1000000,,,
VIT University ,Andhra pradesh,Engineering,"1,98,000","1,93,000",8.2,8.3,7.9,8.3,8.1,8.4,8.1,,600000,,,
National Institute of Technology ,Karnataka,Engineering,"1,52,730","1,00,355",8.4,8.7,7.2,8.2,8.4,8.9,8.9,,1300000,,,
Manipal Institute of Technology ,Karnataka,Engineering,"3,35,000","2,10,000",8.7,8.5,8.5,8.1,9.4,8.1,9.3,,600000,,,
R V College of Engineering ,Karnataka,Engineering,"3,50,000","37,700",8.5,8.7,7.9,8.2,8.6,9,8.4,,1100000,,,
Ramaiah Institute of Technology ,Karnataka,Engineering,"86,226","96,570",8.4,8.5,7.8,8.3,8.7,8.3,8.6,,1100000,,,
International Institute of Information Technology ,Karnataka,Engineering,"1,64,000","3,24,000",8.7,9.2,8.5,9.1,8.8,8.9,7.6,,1400000,,,
BMS College of Engineering ,Karnataka,Engineering,"2,29,110","26,800",8.2,8.4,8,8,8,8.3,8.7,,400000,,,
Siddaganga Institute of Technology ,Karnataka,Engineering,"79,475","92,975",7.8,8.1,7.2,7.7,8.1,8,7.6,,1300000,,,
New Horizon College of Engineering ,Karnataka,Engineering,"2,50,000","75,000",8,8,7.6,8.1,8.3,7.8,8.2,,500000,,,
"Faculty of Engineering and Technology, Jain University ",Karnataka,Engineering,"1,97,500","85,000",8.1,8,7.9,8,8.3,7.7,8.5,,1100000,,,
Sri Jayachamarajendra College of Engineering ,Karnataka,Engineering,"4,75,000","1,40,000",8.3,8.4,7.6,7.8,8.5,8.7,8.6,,400000,,,
Dayananda Sagar College of Engineering ,Karnataka,Engineering,"96,106","2,92,720",8,8,7.4,7.7,8.8,7.7,8.3,,1100000,,,
NMAM Institute of Technology ,Karnataka,Engineering,"1,63,000","83,220",7.9,8,7.5,8.2,8.1,7.5,7.9,,1100000,,,
Nitte Meenakshi Institute of Technology ,Karnataka,Engineering,"58,806","65,390",7.8,8.1,7.1,7.9,7.8,7.6,8.1,,500000,,,
PES University ,Karnataka,Engineering,"3,40,000","2,00,000",8,8.5,7.7,8.1,8.1,8.1,7.6,,700000,,,
BMS Institute of Technology and Management ,Karnataka,Engineering,"3,50,000",--,7.9,8.2,7.7,8,7.7,7.9,7.7,,900000,,,
"KLE Technological University, Hubli ",Karnataka,Engineering,"15,000","40,000",8.4,8.5,7.6,8.2,9.1,8.4,8.4,,1400000,,,
Dr. Ambedkar Institute of Technology ,Karnataka,Engineering,"30,200","37,500",7.2,7.7,6.8,7.5,7.5,6.7,7.2,,1200000,,,
PES College of Engineering ,Karnataka,Engineering,"76,800","74,450",7.7,7.9,6.7,7.7,8.5,7.3,8,,1100000,,,
CMR Institute of Technology ,Karnataka,Engineering,"2,50,000","1,40,000",7.9,8.2,7.3,7.9,8.3,7.7,8,,1100000,,,
The National Institute of Engineering ,Karnataka,Engineering,"44,090","55,590",8.1,8.5,7.6,8.3,7.8,8.4,7.9,,1000000,,,
"Alliance College of Engineering and Design, Bangalore ",Karnataka,Engineering,"2,25,000","1,50,000",7.2,7.3,7.1,6.5,8.7,6.5,7.2,,1200000,,,
Basaveshwar Engineering College ,Karnataka,Engineering,"65,340","60,000",7.7,8.1,7.9,8.1,8.1,6.6,7.2,,500000,,,
"Christ University, Bangalore ",Karnataka,Engineering,"1,70,000","35,000",8.3,8.5,7.4,8.2,8.9,8.1,8.8,,600000,,,
Manipal Academy of Higher Education ,Karnataka,Engineering,"3,35,000","2,10,000",8.4,8.5,8.2,8.6,8.8,7.8,8.4,,1300000,,,
Indian Institute of Science ,Karnataka,Engineering,"29,200","35,200",9,9.6,8.5,9.4,9.5,8.4,8.4,,1100000,,,
"REVA University, Bangalore ",Karnataka,Engineering,"2,25,000","5,00,000",8.4,8.3,8.1,8.3,9.3,7.8,8.4,,900000,,,
"Alliance University, Bangalore ",Karnataka,Engineering,"6,25,000","1,50,000",8,8.2,7.2,8.2,8.8,7.6,8,,1300000,,,
"Presidency University, Bangalore ",Karnataka,Engineering,"2,10,000","90,000",8.3,8.2,7.6,8.6,8.8,8.2,8.3,,1200000,,,
Indian Institute of Technology ,Telangana,Engineering,"2,22,995","5,00,895",8.5,8.7,8,8.7,8.5,8.3,8.6,,1300000,,,
National Institute of Technology ,Telangana,Engineering,"1,30,000","75,000",8.4,8.6,7.9,8.2,8.5,8.6,8.4,,700000,,,
International Institute of Information Technology ,Telangana,Engineering,"3,00,000","1,50,000",8.3,9,8.2,8.5,7.8,9.2,6.9,,1100000,,,
Jawaharlal Nehru Technological University ,Telangana,Engineering,"12,500","18,000",8,8.3,7.7,7.8,8.3,7.6,8.3,,1300000,,,
"University College of Engineering, Osmania University ",Telangana,Engineering,"27,770","39,770",8.6,9,8.5,8.5,8.6,8.4,8.4,,600000,,,
Chaitanya Bharathi Institute of Technology ,Telangana,Engineering,"1,34,000","1,51,600",8.2,8.5,7.1,8.4,8.3,8.6,8.5,,600000,,,
Vallurupalli Nageswara Rao Vignana Jyothi Institute of ,Telangana,Engineering,"1,31,000","1,41,700",8.4,8.4,8.1,8.2,8.5,8.4,8.5,,1100000,,,
"CVR College of Engineering, Ibrahimpatnam, Rangareddi ",Telangana,Engineering,"1,21,650","72,500",8.3,8.6,8.1,8.5,8.2,8.6,7.7,,800000,,,
Institute of Aeronautical Engineering ,Telangana,Engineering,"90,000","70,000",8.3,8.4,8.5,8.2,8.5,8,8.2,,600000,,,
BV Raju Institute of Technology ,Telangana,Engineering,"1,20,000","70,000",8.5,8.6,8.2,8.3,8.9,8.4,8.7,,1300000,,,
Vardhaman College of Engineering ,Telangana,Engineering,"1,25,000","57,000",8.1,8.2,8.2,8.2,8.5,8.1,7.6,,1400000,,,
"Anurag University, Hyderabad ",Telangana,Engineering,"1,35,500","66,500",8.3,8.5,7.5,8.2,8.9,8,8.4,,400000,,,
Vasavi College of Engineering ,Telangana,Engineering,"1,30,000","1,00,000",8,8.6,6.7,8.3,8,8.8,7.5,,600000,,,
Gokaraju Rangaraju Institute of Engineering and Technology ,Telangana,Engineering,"1,22,000","75,000",8,8.3,7.3,7.9,8.5,8.1,7.6,,1200000,,,
Kakatiya Institute of Technology & Science ,Telangana,Engineering,"1,25,960","74,550",8.2,8.3,7.9,8.4,8.3,7.9,8.4,,800000,,,
K L University ,Telangana,Engineering,"2,65,000","1,20,000",7.9,7.9,7.4,8.1,8.2,7.6,8.1,,1300000,,,
